StateAbbr,2004+cardiovascular,2004+stroke,2004+obesity,2004+diabetes,2005+cardiovascular,2005+stroke,2005+obesity,2005+diabetes,2006+cardiovascular,2006+stroke,2006+obesity,2006+diabetes,2007+cardiovascular,2007+stroke,2007+obesity,2007+diabetes,2008+cardiovascular,2008+stroke,2008+obesity,2008+diabetes,2009+cardiovascular,2009+stroke,2009+obesity,2009+diabetes,2010+cardiovascular,2010+stroke,2010+obesity,2010+diabetes,2011+cardiovascular,2011+stroke,2011+obesity,2011+diabetes,2012+cardiovascular,2012+stroke,2012+obesity,2012+diabetes,2013+cardiovascular,2013+stroke,2013+obesity,2013+diabetes,2014+cardiovascular,2014+stroke,2014+obesity,2014+diabetes,2015+cardiovascular,2015+stroke,2015+obesity,2015+diabetes,2016+cardiovascular,2016+stroke,2016+obesity,2016+diabetes,2017+cardiovascular,2017+stroke,2017+obesity,2017+diabetes
ME,6,17,29,38,16,38,14,23,23,26,19,44,31,56,24,56,22,66,20,43,20,60,38,56,45,44,26,37,41,64,35,68,42,67,46,65,34,75,52,66,44,70,51,75,43,61,48,73,38,70,49,81,37,83,47,80
NY,6,13,27,32,15,35,15,19,18,18,22,33,29,43,26,48,18,48,21,37,18,44,34,53,38,33,26,34,28,47,27,55,28,45,40,52,29,51,44,58,33,45,39,62,36,44,46,63,41,47,49,77,34,53,52,78
NY,3,16,31,37,8,44,24,18,19,26,30,26,20,56,43,54,15,62,28,41,19,59,54,49,34,49,41,31,27,53,42,62,29,54,61,63,34,70,52,70,36,63,65,72,31,59,67,75,33,66,70,74,24,71,61,72
GA,14,14,29,31,25,48,23,22,24,23,29,39,42,54,36,48,23,58,32,44,36,53,41,57,49,46,34,41,43,54,50,67,48,60,67,67,45,68,62,64,56,69,54,78,60,62,60,73,59,65,51,78,38,62,41,66
PA,7,16,30,37,17,39,18,23,24,23,24,40,34,49,31,55,23,59,25,45,23,50,40,63,49,39,29,41,40,55,35,67,39,56,51,61,36,62,51,68,39,57,44,70,45,51,56,72,42,56,52,80,35,61,56,78
MI,6,16,27,34,14,43,18,20,21,23,25,36,36,57,30,50,25,63,23,43,27,57,38,58,57,43,29,39,45,59,32,59,38,54,41,52,38,63,45,62,42,59,37,65,40,54,46,65,48,60,43,73,38,66,45,74
NH,6,15,27,37,16,41,15,22,20,23,21,38,31,51,28,54,21,61,22,46,19,50,36,61,37,37,24,37,36,54,33,65,34,55,44,58,33,61,48,63,40,54,43,67,44,50,58,71,44,54,53,76,37,58,58,74
GA,11,17,45,26,11,50,18,25,23,31,29,35,25,58,23,55,24,60,20,44,22,62,35,57,50,45,37,41,44,64,47,67,41,65,58,60,46,67,61,66,46,64,51,64,56,61,69,67,45,62,46,70,32,71,44,74
PA,10,17,35,43,17,49,20,26,23,25,32,44,34,58,38,64,25,66,29,53,26,63,48,73,49,47,36,45,41,63,36,72,39,63,52,66,39,72,52,71,40,70,43,70,45,60,54,72,42,66,50,79,35,73,52,79
IN,4,14,25,36,13,43,25,20,17,26,26,38,24,53,43,55,19,55,28,48,17,62,45,72,56,45,32,43,34,58,43,71,42,57,56,62,29,67,56,73,39,63,51,68,53,58,64,78,54,61,55,84,36,67,49,81
OH,6,16,25,36,15,44,15,21,20,22,21,38,33,52,25,54,20,59,23,43,23,53,35,56,40,40,28,38,40,59,35,67,38,62,47,61,35,65,51,68,43,58,49,70,47,56,59,71,43,58,48,77,35,65,51,75
MD ,5,15,31,37,15,36,17,21,21,21,23,38,29,45,28,53,19,42,17,38,17,30,23,47,31,21,14,27,32,49,33,62,33,50,48,58,30,53,50,62,30,43,38,60,32,42,47,62,39,51,53,77,31,54,59,73
MD,9,18,29,40,23,43,19,22,26,22,26,40,44,57,34,54,30,61,27,47,31,56,49,67,65,43,35,42,50,59,42,75,50,61,64,69,45,65,62,72,52,58,59,79,55,56,74,80,54,58,61,86,42,65,67,85
MI,8,17,48,31,12,41,23,19,22,26,30,33,42,62,41,46,23,58,40,43,17,58,46,58,48,45,39,38,43,66,48,66,39,64,57,57,34,81,52,63,46,72,51,72,54,70,64,70,50,76,57,77,47,79,63,76
NY,5,20,26,37,12,38,25,22,17,24,29,38,32,54,38,57,21,67,37,47,23,57,55,68,33,44,33,42,29,61,36,68,34,59,56,64,30,64,53,69,36,60,47,71,38,55,55,74,41,61,50,78,32,65,52,76
OH,6,18,28,39,13,41,19,22,19,23,22,42,35,57,33,61,18,66,28,48,19,49,39,66,46,41,34,44,34,54,37,66,38,55,52,63,35,60,50,72,39,54,44,74,38,53,54,73,37,56,46,76,30,62,49,74
PA,14,17,53,44,14,48,30,29,23,29,38,47,14,72,52,56,26,60,38,56,33,91,64,80,30,49,39,48,53,68,44,72,30,65,64,63,32,71,58,72,47,65,42,76,52,61,63,70,38,64,46,80,34,73,57,83
NC,7,16,25,35,16,41,19,20,15,23,26,38,26,51,32,54,21,53,27,43,20,50,41,60,46,39,32,39,28,56,26,59,29,55,41,56,28,57,41,60,33,53,39,65,39,49,52,65,34,56,45,72,30,64,47,71
NC,10,15,32,37,16,54,24,27,20,22,30,43,31,54,34,57,21,68,31,48,15,51,48,66,39,41,36,42,37,60,48,70,34,61,58,64,41,70,60,70,52,63,53,77,54,58,68,75,48,64,59,80,39,71,52,80
SC,14,20,15,42,19,45,24,27,38,28,24,48,32,61,32,64,23,68,23,51,34,52,46,75,56,52,35,50,47,76,33,68,37,74,52,64,30,82,54,69,41,76,46,69,53,68,66,74,41,72,47,76,35,76,45,75
GA,12,26,33,37,21,58,21,24,24,28,31,52,57,63,36,63,26,67,25,49,38,59,40,72,100,52,36,51,75,66,40,83,56,71,72,72,57,70,70,75,28,62,24,59,32,60,31,61,70,70,55,79,50,75,61,79
MA,3,16,20,32,11,45,19,21,18,20,22,38,30,49,37,47,19,55,30,44,17,49,43,55,38,40,31,38,35,56,35,65,38,56,54,59,39,59,54,66,48,53,47,66,50,51,59,68,55,58,55,77,40,59,48,74
GA,7,17,64,39,34,43,21,29,24,21,35,49,28,60,45,63,29,66,36,47,21,62,47,81,58,46,52,47,48,52,45,78,58,59,75,64,54,58,67,74,49,63,61,74,62,52,70,74,72,61,68,80,50,74,62,83
NY,6,14,43,38,14,45,30,24,27,22,25,40,37,46,46,55,22,65,32,47,21,54,47,60,33,37,18,28,30,55,45,62,33,64,65,60,32,67,64,61,37,65,55,65,37,55,66,67,37,63,68,72,30,75,59,68
GA,6,15,23,36,17,37,16,21,21,21,19,37,33,50,26,52,21,54,19,42,24,46,35,56,46,37,26,36,36,54,31,58,35,54,40,52,33,58,41,58,41,53,35,64,45,50,45,64,45,58,43,73,37,62,48,72
GA,5,12,18,46,20,28,17,20,32,23,27,41,24,43,35,54,23,65,16,44,20,57,42,58,43,42,37,44,64,49,62,81,55,70,75,70,57,75,55,73,71,64,64,77,53,55,65,82,67,67,56,79,50,69,47,81
NY,19,19,49,29,42,37,29,20,33,26,38,29,16,54,18,54,14,47,53,48,15,69,68,56,60,39,57,38,30,61,62,62,33,69,56,59,31,77,78,71,25,53,47,66,25,55,77,75,39,71,64,83,33,70,58,80
IN,10,17,38,45,18,48,25,29,26,25,32,48,32,57,41,69,26,59,36,60,33,57,48,79,58,42,40,53,38,59,44,81,41,63,60,73,34,64,57,79,46,61,56,80,53,54,68,82,50,56,54,85,39,63,58,82
FL,7,11,20,34,15,36,13,18,20,19,17,34,32,44,22,43,22,48,17,37,23,46,27,53,43,36,20,35,39,49,24,57,41,48,34,49,38,57,37,57,44,49,37,61,45,47,46,61,47,48,43,70,40,53,49,70
KY,5,13,43,39,21,48,20,28,22,24,27,38,30,47,33,54,25,63,24,48,25,53,40,64,52,43,28,42,52,65,41,73,48,65,51,66,44,73,54,75,43,68,44,77,53,59,53,81,51,68,46,84,39,74,52,82
GA,13,18,36,37,20,52,14,25,28,28,38,47,40,57,45,61,20,67,31,48,26,57,54,80,53,35,43,52,45,56,49,70,47,55,66,67,50,70,72,73,55,65,64,75,63,60,79,77,54,67,60,83,43,75,54,80
