Nutrient group,Variable,Value,Commodity
Energy (calories) - Total population,Total - 2015–16,2048.24,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Total - 2015–16,1868.78,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Total - 2015–16,2187.00,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Total - 2015–16,1798.29,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Total - 2015–16,1992.09,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Total - 2015–16,2029.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Total - 2015–16,2110.72,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Total - 2015–16,956.45,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Total - 2015–16,979.17,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Total - 2015–16,978.78,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Total - 2015–16,838.77,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Total - 2015–16,919.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Total - 2015–16,977.16,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Total - 2015–16,983.19,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Total - 2015–16,282.09,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Total - 2015–16,225.12,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Total - 2015–16,312.65,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Total - 2015–16,253.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Total - 2015–16,276.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Total - 2015–16,293.28,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Total - 2015–16,282.24,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Total - 2015–16,16.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Total - 2015–16,14.02,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Total - 2015–16,17.44,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,Total - 2015–16,16.67,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Total - 2015–16,15.62,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Total - 2015–16,16.09,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
